,crypto_name,first_date_marketcap_1mio
4,bitcoin,2013-04-28
7,litecoin,2013-04-28
82,ripple,2013-08-04
39,nxt,2013-12-04
42,dogecoin,2013-12-15
175,digibyte,2014-02-06
14,dash,2014-02-14
178,monero,2014-05-21
115,bitshares,2014-07-21
67,stellar,2014-08-05
3,verge,2014-10-25
59,nem,2015-04-01
90,ethereum,2015-08-07
128,siacoin,2015-08-26
75,decred,2016-02-10
122,lisk,2016-04-06
25,digixdao,2016-04-18
184,steem,2016-04-18
56,bytecoin-bcn,2016-05-14
95,augur,2016-05-14
121,waves,2016-06-02
172,ardor,2016-07-23
133,ethereum-classic,2016-07-24
74,stratis,2016-08-12
46,neo,2016-09-09
136,zcash,2016-10-29
16,komodo,2017-02-05
173,nano,2017-03-07
6,ark,2017-03-22
8,qtum,2017-05-24
154,basic-attention-token,2017-06-01
111,aeternity,2017-06-01
188,zencash,2017-06-01
148,iota,2017-06-13
155,bancor,2017-06-22
98,status,2017-06-28
64,eos,2017-07-01
94,populous,2017-07-11
103,omisego,2017-07-14
93,ethos,2017-07-18
0,smartcash,2017-07-21
1,bitcoin-cash,2017-07-23
163,binance-coin,2017-07-25
32,bytom,2017-08-08
50,dentacoin,2017-08-11
84,dent,2017-08-12
37,0x 2,2017-08-16
116,0x,2017-08-16
89,hypercash,2017-08-20
34,maker,2017-08-27
182,waltonchain,2017-08-27
131,loopring,2017-08-30
28,tron,2017-09-13
52,decentraland,2017-09-17
158,chainlink,2017-09-20
11,cardano,2017-10-01
19,tezos,2017-10-02
30,bitcoin-gold,2017-10-23
53,kucoin-shares,2017-10-24
9,icon,2017-10-27
151,enjin-coin,2017-11-01
68,revain,2017-11-01
176,bitcoin-diamond,2017-11-24
138,aave,2017-11-30
81,aave 2,2017-11-30
187,dragonchain,2017-12-03
153,wax,2017-12-21
76,telcoin,2018-01-15
110,iostoken,2018-01-16
73,theta,2018-01-17
101,zilliqa,2018-01-25
55,huobi-token,2018-02-03
51,swissborg,2018-02-03
35,ren,2018-02-21
130,ontology,2018-03-08
156,bitcoin-private,2018-03-10
96,ravencoin,2018-03-10
29,synthetix-network-token,2018-03-14
124,wanchain,2018-03-23
83,xinfin-network,2018-04-13
105,holo,2018-04-30
20,nexo,2018-05-01
18,iotex,2018-05-25
161,niobio-cash,2018-07-31
92,vechain,2018-08-03
127,quant,2018-08-10
152,rapids,2018-10-11
167,helium,2018-10-18
87,zbg-token,2018-10-23
26,fantom,2018-10-30
143,bitcoin-sv,2018-11-09
109,crypto-com-coin,2018-12-14
77,wrapped-bitcoin,2019-01-30
150,bittorrent,2019-01-31
181,pundi-x,2019-02-08
5,content-value-network,2019-02-08
160,kickico,2019-02-08
91,business-credit-alliance-chain,2019-02-08
141,privcy,2019-02-08
99,ankr,2019-03-06
54,cosmos,2019-03-14
106,celer-network,2019-03-25
177,theta-fuel,2019-03-28
49,matic-network,2019-04-28
41,okb,2019-04-30
157,drep,2019-05-07
171,unus-sed-leo,2019-05-21
135,pirate-chain,2019-05-22
2,reserve-rights,2019-05-24
23,harmony,2019-06-01
118,bitcoin-bep2,2019-06-18
61,algorand,2019-06-21
36,chiliz,2019-07-01
85,thorchain,2019-07-23
100,luna,2019-07-26
58,ftx-token,2019-07-31
183,hedera-hashgraph,2019-09-17
22,bitpanda-ecosystem-token,2019-10-18
21,blockstack,2019-10-28
134,nervos-network,2019-11-19
48,kusama,2019-12-14
80,hex,2019-12-17
145,celsius,2020-02-05
70,wazirx,2020-02-06
108,solana,2020-04-10
102,celo,2020-05-22
27,uma,2020-05-25
65,arweave,2020-05-27
15,kadena,2020-05-31
144,compound,2020-06-16
40,avalanche,2020-07-13
13,yearn-finance,2020-07-20
33,nexus-mutual,2020-07-20
149,wrapped-nxm,2020-07-28
60,serum,2020-08-11
126,the-sandbox,2020-08-14
179,curve,2020-08-14
137,polkadot-new,2020-08-20
165,sushi,2020-08-28
146,elrond-egld,2020-09-04
139,amp,2020-09-11
117,uniswap,2020-09-17
71,pancakeswap,2020-09-29
166,secret,2020-09-30
142,crust,2020-09-30
78,near-protocol,2020-10-14
47,file-coin,2020-10-15
10,nucypher,2020-10-16
38,counos-x,2020-10-21
159,huobi-btc,2020-10-23
17,venus,2020-11-06
62,axie-infinity,2020-11-06
112,bitcoin-cash-abc-2,2020-11-17
24,audius,2020-11-24
170,the-graph,2020-12-17
88,1inch,2020-12-25
140,bonfida,2020-12-28
12,perpetual-protocol,2021-01-18
185,flow,2021-01-27
104,deri-protocol,2021-02-11
120,creditcoin,2021-03-09
79,rally,2021-03-10
164,shiba-inu,2021-03-15
86,safemoon,2021-03-16
132,jasmy,2021-03-18
43,klaytn,2021-03-25
162,symbol,2021-03-25
66,mdex,2021-04-06
97,conflux-network,2021-04-06
72,ecomi,2021-04-26
119,dogelon,2021-04-26
45,bakerytoken,2021-04-29
44,internet-computer,2021-05-10
169,raydium,2021-05-14
57,bridge-oracle,2021-05-14
113,convex-finance,2021-05-18
69,mina,2021-06-24
125,bitdao,2021-09-02
129,dydx,2021-09-08
63,steth,2021-09-09
147,wbnb,2021-09-09
107,egoras,2021-09-09
114,the-transfer-token,2021-09-09
123,youcash,2021-09-09
186,ecash,2021-09-09
174,p-chainlink,2021-10-05
31,p-aave,2021-10-05
180,p-matic-network,2021-10-05
168,p-uniswap,2021-10-05
